participant_id,trial_index,global_field_power,delta_power,theta_power,alpha_power,beta_power
sub-02,40,13.281263530975455,1.1627207073858041e-12,2.826320671838803e-13,2.3289132624726163e-13,1.847717347064223e-13
sub-02,41,13.644248529952053,1.0008219174474527e-12,3.887909236301207e-13,2.0130605345801428e-13,8.899533171553232e-14
sub-02,42,15.272278897785727,1.411539769431378e-12,5.381091980057339e-13,4.814175782595399e-13,1.2086372584905893e-13
sub-02,43,13.17478438330443,1.322800592158413e-12,5.501050245637591e-13,1.3187077129156806e-13,7.462413963177451e-14
sub-02,44,15.236637709877606,8.776663457640846e-13,2.036012078201642e-13,1.8797377792074992e-13,6.551217198254766e-14
sub-02,45,9.64903841910816,4.600634356543081e-13,2.980654608471371e-13,1.3275575266295895e-13,6.695994735115685e-14
sub-02,46,22.569337824155074,5.063030791708321e-11,1.4185513359273507e-12,2.030356827969901e-13,1.0515975929626082e-13
sub-02,47,17.15017302242057,1.0002707901805992e-11,4.916756033857728e-13,1.5373151248857117e-13,7.80232271321167e-14
sub-02,48,15.981430889440379,1.0062825937376964e-11,6.524029249817713e-13,1.286545345412027e-13,9.263699313874491e-14
sub-02,49,14.881524077805532,6.549553724689668e-13,2.445123060466584e-13,8.833303989624554e-14,7.348981826472183e-14
sub-02,50,14.278061738668756,1.4187663648258556e-11,7.413643895638034e-13,9.349576875276342e-14,6.591324668638722e-14
sub-02,51,12.446563900685705,2.4989549900763142e-12,8.818368776343626e-13,2.886890224456501e-13,1.527193490716646e-13
sub-02,52,16.332731054010868,1.6776846462979974e-12,1.5579437549951827e-13,1.7174700851202655e-13,6.095800038208028e-14
sub-02,53,10.37844731508159,6.598009701199397e-13,3.472237742479832e-13,1.5857695348009664e-13,7.367222270836974e-14
sub-02,54,12.253031383236896,2.689306579140506e-12,3.0616339038803877e-13,1.238708658699322e-13,1.1053022780321513e-13
sub-02,55,13.207352750015032,9.600949018886268e-13,2.8781685733427907e-13,1.9845969357371324e-13,6.12703221939479e-14
sub-02,56,11.975124847198213,9.197502807972888e-13,3.3110370019505613e-13,9.648601747460646e-14,7.704210286168611e-14
sub-02,57,14.632271688006606,1.080704263557129e-12,4.728706078229823e-13,2.3761970824275527e-13,9.886762027828747e-14
sub-02,58,11.001287707515436,6.832570923917524e-13,1.7568059553730716e-13,1.2375941879778746e-13,7.954837337996626e-14
sub-02,59,10.842671191755693,1.4898799946486775e-12,3.2080550085981946e-13,2.1412411476249587e-13,8.4650187430749e-14
sub-02,60,13.225666668804875,4.0991436451315583e-13,2.513924515009688e-13,1.0173343913558351e-13,4.3761748766669455e-14
sub-02,61,13.325579306897236,1.079342956190862e-12,5.349935029634647e-13,1.4561833340248413e-13,7.757825951322497e-14
sub-02,62,13.044205417207252,8.160698480257636e-13,4.616926802377111e-13,2.346533878645951e-13,7.42580854412038e-14
sub-02,63,14.273764115772531,8.181843743120423e-13,2.274619676257913e-13,1.3975454083890892e-13,6.753387400018394e-14
sub-02,64,13.21280520815162,1.7970080741511492e-12,4.400436059756141e-13,1.2345303006094345e-13,9.357513828641778e-14
sub-02,65,12.641418355564557,7.254877017335278e-13,2.0647916985808145e-13,1.3872292168001482e-13,5.796963627715398e-14
sub-02,66,13.948805363410338,7.900166861009028e-13,2.3545362282855567e-13,1.306962393030794e-13,1.9390581071522675e-13
sub-02,67,11.267999564107319,1.237585198701349e-12,2.023249936619364e-13,1.854405081204656e-13,7.130343680359331e-14
sub-02,68,14.53069467515084,7.996466756021767e-13,3.362902282580114e-13,1.465047242870632e-13,6.781052902764377e-14
sub-02,69,11.544817775363233,2.863824768274738e-13,3.913141688634144e-13,1.745731033174556e-13,1.0386680220425964e-13
